0 0 0 -18.451582536644
0.5 0 0 -16.805510802657
1 0 0 -17.298425667426
1.5 0 0 -18.11386950292
2 0 0 -18.017808510783
2.5 0 0 -17.763300105405
3 0 0 -17.763807036846
3.5 0 0 -18.311158664245
4 0 0 -18.911409057159
4.5 0 0 -18.094743413907
5 0 0 -18.188107771649
5.5 0 0 -17.885722645346
6 0 0 -17.405732153861
6.5 0 0 -17.752536131363
7 0 0 -17.883262220561
7.5 0 0 -18.501124267815
8 0 0 -20.265318420571
8.5 0 0 -20.209706665248
9 0 0 -19.764034889931
9.5 0 0 -21.278036237506
10 0 0 -22.049773660488
10.5 0 0 -20.898133919094
11 0 0 -21.164708403209
11.5 0 0 -20.392732022851
12 0 0 -21.256129905049
12.5 0 0 -20.973330213855
13 0 0 -20.688319496606
13.5 0 0 -20.389046743082
14 0 0 -20.514538966002
14.5 0 0 -20.361717326943
15 0 0 -20.341375579639
15.5 0 0 -20.630978244994
16 0 0 -20.915521668062
16.5 0 0 -20.668832220283
17 0 0 -21.047874688783
17.5 0 0 -20.377412062125
18 0 0 -20.608937821982
18.5 0 0 -20.844139771612
19 0 0 -20.538544761841
19.5 0 0 -20.988640466593
20 0 0 -21.377270821417
20.5 0 0 -21.762448594672
21 0 0 -22.488355012938
21.5 0 0 -22.558951181791
22 0 0 -22.071573156828
22.5 0 0 -23.403822595513
23 0 0 -23.28319620811
23.5 0 0 -22.997154717872
24 0 0 -24.607750854397
24.5 0 0 -24.933990474454
25 0 0 -24.361370496978
0 0.5 0 -18.921048797064
0.5 0.5 0 -17.770812469949
1 0.5 0 -17.835090522826
1.5 0.5 0 -17.813295593514
2 0.5 0 -17.510257937075
2.5 0.5 0 -17.252821050308
3 0.5 0 -17.540643275795
3.5 0.5 0 -18.230523392307
4 0.5 0 -18.65350334791
4.5 0.5 0 -17.801364156437
5 0.5 0 -18.192438252896
5.5 0.5 0 -19.133122202756
6 0.5 0 -17.665033984682
6.5 0.5 0 -17.962623908782
7 0.5 0 -18.200255536
7.5 0.5 0 -18.198908642547
8 0.5 0 -19.812674911663
8.5 0.5 0 -20.454829573944
9 0.5 0 -19.911545766774
9.5 0.5 0 -21.063534705083
10 0.5 0 -21.962231346245
10.5 0.5 0 -20.767448466444
11 0.5 0 -19.907855740247
11.5 0.5 0 -20.43446005129
12 0.5 0 -21.681243478005
12.5 0.5 0 -20.863954526598
13 0.5 0 -20.489670364486
13.5 0.5 0 -20.301670928219
14 0.5 0 -20.697754478066
14.5 0.5 0 -20.625061661451
15 0.5 0 -20.242911031538
15.5 0.5 0 -19.977658937701
16 0.5 0 -20.414127867908
